year,month,day,date,hour,Tair[C],T20[C],T26[C],RH,Wind[m/s],Psurf[hPa],Psurf_OWS[hPa],SWdown[W/m2],SWdown_OWS[W/m2],CO2[ppm],Ts2[C],Ts10[C],Ts50[C],smv30[m3/m3],smv60[m3/m3],Rnet[W/m2],G[W/m2],NEE[umol/m2/s],Reco[umol/m2/s],GEP[umol/m2/s],VPD[kPa]
2000,2,17,2/17/2000,0,18.6325,17.38,NA,85.575,NA,NA,886.3885,0,NA,NA,17.2775,17.6225,17.715,0.18,0.307,NA,NA,6.7317,6.78678,0.05508,0.309779152
2000,2,17,2/17/2000,1,19.595,17.8475,NA,87.325,NA,NA,885.9532,0,NA,NA,17.33,17.74,17.8775,0.179,0.307,NA,NA,7.5179,6.78678,-0.73112,0.289027729
2000,2,17,2/17/2000,2,18.9825,17.5675,NA,85.9,NA,NA,886.09542,0,NA,NA,17.1425,17.4625,17.65,0.179,0.307,NA,NA,6.9459,6.78678,-0.15912,0.309494355
2000,2,17,2/17/2000,3,19.64,17.7075,NA,87.425,NA,NA,886.04287,0,NA,NA,17.14,17.5225,17.7425,0.179,0.307,NA,NA,6.9973,6.78678,-0.21052,0.287549703
2000,2,17,2/17/2000,4,19.235,17.5075,NA,85.575,NA,NA,885.9398,0,NA,NA,17.02,17.35,17.605,0.17825,0.307,NA,NA,6.946,6.78678,-0.15922,0.321651025
2000,2,17,2/17/2000,5,19.9575,17.8525,NA,86.875,NA,NA,885.64223,0,NA,NA,17.005,17.365,17.65,0.178,0.30625,NA,NA,6.9527,6.78678,-0.16592,0.306092932
2000,2,17,2/17/2000,6,19.15,17.5275,NA,86.825,NA,NA,886.49923,0,NA,NA,16.805,17.0975,17.405,0.178,0.306,NA,NA,6.995,6.78678,-0.20822,0.292226896
2000,2,17,2/17/2000,7,19.575,17.5175,NA,86.675,NA,NA,887.30773,5.38125,NA,NA,16.87,17.23,17.5525,0.178,0.306,NA,NA,6.6522,6.78678,0.13458,0.303472499
2000,2,17,2/17/2000,8,19.4,17.4025,NA,85.55,NA,NA,888.0245,18.66125,NA,NA,16.86,17.1925,17.5375,0.177,0.306,NA,NA,5.0453,6.78678,1.74148,0.32553408
2000,2,17,2/17/2000,9,19.4275,17.905,NA,86.15,NA,NA,889.02858,83.548,NA,NA,16.8725,17.19,17.5575,0.177,0.306,NA,NA,-3.2046,6.78678,9.99138,0.312551134
2000,2,17,2/17/2000,10,18.6325,17.8925,NA,86.25,NA,NA,889.3003,118.0525,NA,NA,16.95,17.2275,17.5975,0.177,0.305,NA,NA,-6.5427,6.78678,13.32948,0.295283421
2000,2,17,2/17/2000,11,19.2525,18.9325,NA,86.7,NA,NA,889.3399,238.1525,NA,NA,17.195,17.4075,17.78,0.17675,0.305,NA,NA,-10.652,6.78678,17.43878,0.296888932
2000,2,17,2/17/2000,12,20.2375,20.5875,NA,87.6,NA,NA,888.7698,280.9625,NA,NA,17.2775,17.0975,17.425,0.176,0.305,NA,NA,-13.0357,6.78678,19.82248,0.294237154
2000,2,17,2/17/2000,13,22.34,24.1575,NA,88.1,NA,NA,887.88653,508.1575,NA,NA,17.295,16.9975,17.1975,0.176,0.30425,NA,NA,-12.7778,6.78678,19.56458,0.321207327
2000,2,17,2/17/2000,14,21.8475,26.9975,NA,90.925,NA,NA,887.37717,521.17375,NA,NA,17.2875,17.13,17.2625,0.18175,0.3045,NA,NA,-13.0194,6.78678,19.80618,0.237715548
2000,2,17,2/17/2000,15,20.34,23.935,NA,92.975,NA,NA,887.38082,243.77125,NA,NA,17.645,17.3075,17.3,0.206,0.321,NA,NA,-10.4995,6.78678,17.28628,0.167753503
2000,2,17,2/17/2000,16,21.3475,23.9725,NA,91.325,NA,NA,887.41775,156.09125,NA,NA,17.455,16.9075,16.7625,0.2125,0.33075,NA,NA,-8.9835,6.78678,15.77028,0.220396032
2000,2,17,2/17/2000,17,20.2025,21.7025,NA,90.175,NA,NA,887.9236,109.35887,NA,NA,16.92,16.5075,16.2425,0.2075,0.32575,NA,NA,-1.5795,6.78678,8.36628,0.232631784
2000,2,17,2/17/2000,18,18.2225,18.145,NA,88.65,NA,NA,888.17677,6.21462,NA,NA,16.9875,16.9275,16.6025,0.205,0.3235,NA,NA,6.6032,6.78678,0.18358,0.237560255
2000,2,17,2/17/2000,19,20.22,17.645,NA,86.675,NA,NA,888.73802,0,NA,NA,17.4075,17.66,17.3925,0.203,0.322,NA,NA,6.4338,6.78678,0.35298,0.315844565
2000,2,17,2/17/2000,20,20.6675,17.8675,NA,85.675,NA,NA,889.39258,0,NA,NA,17.265,17.6,17.4275,0.201,0.32125,NA,NA,6.5613,6.78678,0.22548,0.34905194
2000,2,17,2/17/2000,21,20.355,17.74,NA,85.9,NA,NA,889.79898,0,NA,NA,17.045,17.4575,17.3775,0.19925,0.32025,NA,NA,6.49,6.78678,0.29678,0.337012923
2000,2,17,2/17/2000,22,20.0925,17.7075,NA,87.1,NA,NA,890.20168,0,NA,NA,16.995,17.46,17.4725,0.19775,0.31925,NA,NA,6.1952,6.78678,0.59158,0.303369798
2000,2,17,2/17/2000,23,19.98,17.57,NA,87.325,NA,NA,890.5075,0,NA,NA,17.0325,17.5525,17.645,0.1965,0.31775,NA,NA,6.5298,6.78678,0.25698,0.296010418
2000,2,18,2/18/2000,0,19.885,17.5575,NA,87.95,NA,NA,890.63572,0,NA,NA,17.1375,17.72,17.895,0.1955,0.3165,NA,NA,5.8163,6.3573,0.541,0.279763304
2000,2,18,2/18/2000,1,19.91,17.6875,NA,88.6,NA,NA,890.68443,0,NA,NA,17.32,17.9775,18.24,0.1945,0.31475,NA,NA,6.2035,6.3573,0.1538,0.265082581
2000,2,18,2/18/2000,2,22.025,19.3125,NA,89.225,NA,NA,890.42045,0,NA,NA,17.605,18.355,18.725,0.19325,0.31375,NA,NA,5.9579,6.3573,0.3994,0.285317978
2000,2,18,2/18/2000,3,22.595,19.9625,NA,89.05,NA,NA,890.2052,0,NA,NA,17.8625,18.4975,18.96,0.192,0.313,NA,NA,6.4375,6.3573,-0.0802,0.300177695
2000,2,18,2/18/2000,4,20.45,18.32,NA,88.625,NA,NA,890.27112,0,NA,NA,17.57,18.125,18.63,0.191,0.31225,NA,NA,6.2474,6.3573,0.1099,0.273479553
2000,2,18,2/18/2000,5,20.765,18.1775,NA,88.75,NA,NA,890.54093,0,NA,NA,17.3525,18.0275,18.575,0.19,0.312,NA,NA,5.7323,6.3573,0.625,0.275774821
2000,2,18,2/18/2000,6,22.6025,19.61,NA,88.625,NA,NA,890.99845,0.00038,NA,NA,17.6475,18.32,18.9475,0.18925,0.311,NA,NA,6.1231,6.3573,0.2342,0.311970352
2000,2,18,2/18/2000,7,22.29,19.7025,NA,88.675,NA,NA,891.5027,19.29838,NA,NA,17.72,18.275,18.9475,0.1885,0.31075,NA,NA,2.3953,6.3573,3.962,0.304758871
2000,2,18,2/18/2000,8,20.09,20.0875,NA,82.7,NA,NA,892.26693,108.83025,NA,NA,17.21,17.4475,18.115,0.18775,0.31,NA,NA,-8.9671,6.3573,15.3244,0.406781856
2000,2,18,2/18/2000,9,20.6225,21.855,NA,87.35,NA,NA,892.7872,244.2525,NA,NA,16.675,16.6375,17.23,0.187,0.3095,NA,NA,-10.6468,6.3573,17.0041,0.307384675
2000,2,18,2/18/2000,10,21.3225,24.3525,NA,86.65,NA,NA,892.88202,301.3525,NA,NA,16.4725,16.4425,16.91,0.18675,0.309,NA,NA,-11.5713,6.3573,17.9286,0.338649448
2000,2,18,2/18/2000,11,23.26,28.3825,NA,84.525,NA,NA,892.97618,488.0975,NA,NA,17.6475,17.4525,17.8175,0.186,0.309,NA,NA,-13.0327,6.3573,19.39,0.441644577
2000,2,18,2/18/2000,12,25.4675,32.7125,NA,84.325,NA,NA,892.1298,457.8075,NA,NA,18.35,18.22,18.47,0.18525,0.308,NA,NA,-12.0919,6.3573,18.4492,0.510545484
2000,2,18,2/18/2000,13,24.8975,29.5675,NA,83.35,NA,NA,891.08267,317.2625,NA,NA,18.47,18.555,18.7425,0.185,0.308,NA,NA,-12.6355,6.3573,18.9928,0.524223324
2000,2,18,2/18/2000,14,22.56,25.48,NA,86.75,NA,NA,890.71822,176.3325,NA,NA,18.4575,18.5425,18.7275,0.1845,0.30725,NA,NA,-10.2732,6.3573,16.6305,0.362458098
2000,2,18,2/18/2000,15,20.8975,22.3125,NA,85.775,NA,NA,890.89108,129.8325,NA,NA,17.6775,17.5725,17.7225,0.184,0.307,NA,NA,-9.2942,6.3573,15.6515,0.351555257
2000,2,18,2/18/2000,16,20.3925,21.69,NA,86.525,NA,NA,891.0549,113.03,NA,NA,17.2375,17.0825,17.1625,0.184,0.307,NA,NA,-6.4966,6.3573,12.8539,0.322820752
2000,2,18,2/18/2000,17,19.4325,19.755,NA,87.25,NA,NA,891.19905,45.33163,NA,NA,17.185,17.105,17.12,0.1835,0.307,NA,NA,1.2853,6.3573,5.072,0.287817044
2000,2,18,2/18/2000,18,18.585,17.305,NA,83.075,NA,NA,891.36653,4.06075,NA,NA,17.17,17.265,17.2475,0.183,0.30675,NA,NA,7.0358,6.3573,-0.6785,0.362388266
2000,2,18,2/18/2000,19,19.875,17.1725,NA,80.25,NA,NA,891.71875,0,NA,NA,17.3325,17.7625,17.79,0.183,0.30675,NA,NA,6.7451,6.3573,-0.3878,0.458249195
2000,2,18,2/18/2000,20,19.6525,17.02,NA,79.25,NA,NA,891.86365,0,NA,NA,17.1575,17.75,17.8875,0.1825,0.306,NA,NA,7.0537,6.3573,-0.6964,0.474853898
2000,2,18,2/18/2000,21,20.3375,17.515,NA,77.4,NA,NA,891.9123,0,NA,NA,16.94,17.61,17.88,0.182,0.306,NA,NA,6.7089,6.3573,-0.3516,0.539593456
2000,2,18,2/18/2000,22,20.265,17.2875,NA,77.525,NA,NA,892.4482,0,NA,NA,16.775,17.5225,17.9075,0.1815,0.306,NA,NA,6.6718,6.3573,-0.3145,0.534211702
2000,2,18,2/18/2000,23,19.88,17.0425,NA,76.65,NA,NA,892.5835,0,NA,NA,16.59,17.295,17.79,0.181,0.306,NA,NA,6.7437,6.3573,-0.3864,0.541946036
2000,2,19,2/19/2000,0,20.85,17.5075,NA,76.4,NA,NA,892.6164,0,NA,NA,16.5475,17.2875,17.8725,0.181,0.306,NA,NA,6.0049,6.74483,0.73993,0.581547189
2000,2,19,2/19/2000,1,19.885,16.9275,NA,76.4,NA,NA,892.41022,0,NA,NA,16.3375,17.04,17.7025,0.18,0.306,NA,NA,6.8003,6.74483,-0.05547,0.547918173
2000,2,19,2/19/2000,2,20.9275,17.6525,NA,76.1,NA,NA,892.11435,0,NA,NA,16.39,17.1475,17.8775,0.18,0.306,NA,NA,6.3561,6.74483,0.38873,0.591752436
2000,2,19,2/19/2000,3,19.725,17.1,NA,75.625,NA,NA,891.82435,0,NA,NA,16.275,16.985,17.7825,0.1795,0.305,NA,NA,7.021,6.74483,-0.27617,0.560325451
2000,2,19,2/19/2000,4,21.14,18.075,NA,76.05,NA,NA,891.93483,0,NA,NA,16.3375,17.045,17.895,0.179,0.305,NA,NA,6.6959,6.74483,0.04893,0.600779222
2000,2,19,2/19/2000,5,19.6025,16.8975,NA,76.125,NA,NA,892.0105,0,NA,NA,16.1625,16.8325,17.7275,0.179,0.305,NA,NA,6.2603,6.74483,0.48453,0.544674676
2000,2,19,2/19/2000,6,20.7775,17.63,NA,75.925,NA,NA,892.39257,0,NA,NA,16.2025,16.8425,17.7775,0.178,0.305,NA,NA,6.009,6.74483,0.73583,0.590612222
2000,2,19,2/19/2000,7,19.92,17.0525,NA,77.15,NA,NA,892.91,16.87187,NA,NA,16.1325,16.7675,17.73,0.178,0.305,NA,NA,0.3899,6.74483,6.35493,0.531657031
2000,2,19,2/19/2000,8,19.4675,18.785,NA,79.025,NA,NA,893.21777,99.031,NA,NA,16.29,16.6375,17.6075,0.178,0.30475,NA,NA,-9.6737,6.74483,16.41853,0.474518634
2000,2,19,2/19/2000,9,20.5425,21.7875,NA,80.125,NA,NA,893.85802,164.775,NA,NA,16.3875,16.2975,17.1925,0.177,0.304,NA,NA,-12.9183,6.74483,19.66313,0.48057127
2000,2,19,2/19/2000,10,21.665,25.0325,NA,83.15,NA,NA,893.96848,231.11125,NA,NA,16.1725,16.115,16.8525,0.177,0.304,NA,NA,-13.7267,6.74483,20.47153,0.436486502
2000,2,19,2/19/2000,11,23.125,27.0975,NA,83.45,NA,NA,894.18765,375.0725,NA,NA,17.205,17.0225,17.64,0.177,0.304,NA,NA,-13.2252,6.74483,19.97003,0.468488904
2000,2,19,2/19/2000,12,25.0825,30.5775,NA,83.275,NA,NA,893.85347,361.5425,NA,NA,17.8125,17.48,17.9675,0.177,0.303,NA,NA,-13.4979,6.74483,20.24273,0.532419972
2000,2,19,2/19/2000,13,25.865,29.4775,NA,82.65,NA,NA,893.3056,361.36375,NA,NA,17.7075,17.5475,17.8975,0.177,0.303,NA,NA,-13.9326,6.74483,20.67743,0.578571743
2000,2,19,2/19/2000,14,25.3725,28.7425,NA,82.85,NA,NA,892.69578,372.475,NA,NA,17.695,17.6325,17.915,0.177,0.303,NA,NA,-13.5138,6.74483,20.25863,0.555445331
2000,2,19,2/19/2000,15,25.9775,29.4425,NA,81.95,NA,NA,892.2478,445.81375,NA,NA,17.8425,17.7775,18.01,0.176,0.3025,NA,NA,-12.9713,6.74483,19.71613,0.605933357
2000,2,19,2/19/2000,16,24.7425,27.3475,NA,80.475,NA,NA,891.86382,147.53875,NA,NA,17.8325,17.845,18.035,0.176,0.302,NA,NA,-10.2909,6.74483,17.03573,0.609085074
2000,2,19,2/19/2000,17,21.9,23.7975,NA,80.75,NA,NA,891.77993,73.079,NA,NA,17.945,18.1625,18.3425,0.176,0.302,NA,NA,0.8178,6.74483,5.92703,0.505862828
2000,2,19,2/19/2000,18,20.36,20.0425,NA,79.05,NA,NA,892.1137,3.31212,NA,NA,17.7275,17.7925,18.005,0.176,0.302,NA,NA,7.1516,6.74483,-0.40677,0.500893639
2000,2,19,2/19/2000,19,19.2375,18.48,NA,77.125,NA,NA,892.39055,0,NA,NA,17.1725,17.3875,17.59,0.176,0.302,NA,NA,7.103,6.74483,-0.35817,0.51014993
2000,2,19,2/19/2000,20,18.855,17.975,NA,76,NA,NA,892.53097,0,NA,NA,17.0975,17.5475,17.7925,0.17525,0.302,NA,NA,7.3954,6.74483,-0.65057,0.522622559
2000,2,19,2/19/2000,21,18.8475,17.93,NA,75.725,NA,NA,892.94932,0,NA,NA,17.2075,17.8075,18.1475,0.175,0.302,NA,NA,6.8932,6.74483,-0.14837,0.528363375
2000,2,19,2/19/2000,22,20.255,19.13,NA,74.6,NA,NA,893.0309,0,NA,NA,17.185,17.81,18.2675,0.175,0.30125,NA,NA,6.9955,6.74483,-0.25067,0.603363612
2000,2,19,2/19/2000,23,19.075,18.0975,NA,74.175,NA,NA,892.75245,0,NA,NA,16.89,17.55,18.0925,0.17475,0.301,NA,NA,7.0257,6.74483,-0.28087,0.570137498
2000,2,20,2/20/2000,0,20.0275,19.12,NA,72.975,NA,NA,892.31642,0,NA,NA,16.8175,17.465,18.1,0.174,0.301,NA,NA,6.4325,6.74386,0.31136,0.63299705
2000,2,20,2/20/2000,1,20.0125,18.06,NA,73.175,NA,NA,891.6639,0,NA,NA,16.7325,17.405,18.1175,0.174,0.301,NA,NA,7.1904,6.74386,-0.44654,0.627729467
2000,2,20,2/20/2000,2,19.055,17.1825,NA,73.975,NA,NA,891.07317,0,NA,NA,16.55,17.19,17.9625,0.1735,0.301,NA,NA,6.6756,6.74386,0.06826,0.573836809
2000,2,20,2/20/2000,3,20.1175,18.0075,NA,73.225,NA,NA,890.42448,0,NA,NA,16.5525,17.175,18.01,0.173,0.301,NA,NA,6.8817,6.74386,-0.13784,0.630643125
2000,2,20,2/20/2000,4,19.8625,17.61,NA,73.925,NA,NA,890.13045,0,NA,NA,16.495,17.1325,18.01,0.173,0.301,NA,NA,6.4501,6.74386,0.29376,0.604536509
2000,2,20,2/20/2000,5,19.1475,17.29,NA,74.175,NA,NA,889.95607,0,NA,NA,16.365,16.9575,17.875,0.17225,0.301,NA,NA,6.5188,6.74386,0.22506,0.572719849
2000,2,20,2/20/2000,6,20.09,18.0975,NA,74.025,NA,NA,889.7154,0,NA,NA,16.405,16.975,17.925,0.172,0.301,NA,NA,6.0522,6.74386,0.69166,0.610760619
2000,2,20,2/20/2000,7,18.7475,17.2525,NA,76.15,NA,NA,889.64297,8.51588,NA,NA,16.4125,16.995,17.9675,0.172,0.301,NA,NA,-0.1099,6.74386,6.85376,0.515879344
2000,2,20,2/20/2000,8,20.43,19.4025,NA,79.875,NA,NA,889.96165,50.95725,NA,NA,16.66,17.02,18.0175,0.1715,0.301,NA,NA,-8.8953,6.74386,15.63916,0.483251819
2000,2,20,2/20/2000,9,20.2825,20.2975,NA,82.975,NA,NA,890.30875,100.61875,NA,NA,16.59,16.5,17.435,0.171,0.3005,NA,NA,-12.5632,6.74386,19.30706,0.405107505
2000,2,20,2/20/2000,10,20.36,21.8825,NA,85.4,NA,NA,890.5636,167.78,NA,NA,16.3,16.0425,16.8125,0.171,0.3,NA,NA,-11.3141,6.74386,18.05796,0.349071462
2000,2,20,2/20/2000,11,22.48,26.1275,NA,82.25,NA,NA,890.51685,381.63625,NA,NA,16.635,16.3175,16.93,0.171,0.3,NA,NA,-12.7167,6.74386,19.46056,0.483204622
2000,2,20,2/20/2000,12,23.945,29.065,NA,83.55,NA,NA,890.24257,399.02125,NA,NA,17.55,17.1625,17.6175,0.171,0.3,NA,NA,-12.7691,6.74386,19.51296,0.48923634
2000,2,20,2/20/2000,13,25.09,28.905,NA,83.45,NA,NA,889.6822,409.14375,NA,NA,17.5775,17.3725,17.69,0.171,0.3,NA,NA,-12.9745,6.74386,19.71836,0.527084323
2000,2,20,2/20/2000,14,24.0875,27.6525,NA,82.75,NA,NA,888.82147,220.47125,NA,NA,17.6625,17.44,17.6875,0.171,0.29925,NA,NA,-11.6968,6.74386,18.44066,0.517435272
2000,2,20,2/20/2000,15,21.8375,24.5025,NA,81.425,NA,NA,888.70065,171.07,NA,NA,17.74,17.635,17.8075,0.171,0.299,NA,NA,-10.6602,6.74386,17.40406,0.486266942
2000,2,20,2/20/2000,16,21,22.4325,NA,84.55,NA,NA,888.60333,79.3825,NA,NA,18,18.0125,18.1675,0.17075,0.299,NA,NA,-2.4661,6.74386,9.20996,0.384242334
2000,2,20,2/20/2000,17,20.715,20.65,NA,84.8,NA,NA,888.86825,29.28825,NA,NA,17.6325,17.315,17.46,0.17,0.299,NA,NA,2.58,6.74386,4.16386,0.371457535
2000,2,20,2/20/2000,18,19.3875,18.9225,NA,81.35,NA,NA,889.49482,4.06712,NA,NA,16.96,16.72,16.77,0.17,0.299,NA,NA,6.904,6.74386,-0.16014,0.419826463
2000,2,20,2/20/2000,19,18.81,18.0525,NA,79.075,NA,NA,890.27482,0,NA,NA,16.8575,16.9,16.9125,0.17,0.2985,NA,NA,7.0679,6.74386,-0.32404,0.454382441
2000,2,20,2/20/2000,20,18.6525,17.82,NA,77.55,NA,NA,890.95012,0,NA,NA,16.9825,17.2775,17.3325,0.17,0.2985,NA,NA,6.8927,6.74386,-0.14884,0.482720909
2000,2,20,2/20/2000,21,18.5975,17.3525,NA,77.175,NA,NA,891.45152,0,NA,NA,17.155,17.6525,17.8025,0.17,0.298,NA,NA,6.9115,6.74386,-0.16764,0.489098124
2000,2,20,2/20/2000,22,20.045,17.855,NA,75.3,NA,NA,891.79795,0,NA,NA,17.2075,17.78,18.0575,0.1695,0.298,NA,NA,6.8278,6.74386,-0.08394,0.579166289
2000,2,20,2/20/2000,23,19.625,17.2375,NA,75.375,NA,NA,891.44038,0,NA,NA,16.945,17.555,17.9425,0.169,0.298,NA,NA,6.6575,6.74386,0.08636,0.56257024
2000,2,21,2/21/2000,0,19.1625,17.2025,NA,75.95,NA,NA,891.31517,0,NA,NA,16.78,17.3775,17.865,0.169,0.298,NA,NA,6.3542,6.36397,0.00977,0.5338545
2000,2,21,2/21/2000,1,20.03,17.725,NA,74.75,NA,NA,890.97135,0,NA,NA,16.7225,17.3325,17.9075,0.16825,0.299,NA,NA,6.754,6.36397,-0.39003,0.591513364
2000,2,21,2/21/2000,2,19.8725,17.5,NA,75.35,NA,NA,890.55633,0,NA,NA,16.6,17.2325,17.8775,0.168,0.29875,NA,NA,6.3021,6.36397,0.06187,0.571852808
2000,2,21,2/21/2000,3,19.6675,17.285,NA,75.1,NA,NA,890.17498,0,NA,NA,16.505,17.14,17.8575,0.16775,0.298,NA,NA,6.5752,6.36397,-0.21123,0.570355433
2000,2,21,2/21/2000,4,19.49,17.2425,NA,74.8,NA,NA,889.84303,0,NA,NA,16.3875,17.02,17.795,0.167,0.298,NA,NA,6.2125,6.36397,0.15147,0.570898881
2000,2,21,2/21/2000,5,20.265,17.9125,NA,74.5,NA,NA,889.51585,0,NA,NA,16.3225,16.95,17.7875,0.167,0.298,NA,NA,6.3376,6.36397,0.02637,0.606113388
2000,2,21,2/21/2000,6,19.6125,17.175,NA,75.1,NA,NA,889.815,0,NA,NA,16.28,16.9075,17.7925,0.16625,0.298,NA,NA,5.4388,6.36397,0.92517,0.568411444
2000,2,21,2/21/2000,7,19.1525,17.205,NA,76.375,NA,NA,890.04342,7.13675,NA,NA,16.2525,16.815,17.7375,0.166,0.298,NA,NA,-0.7461,6.36397,7.11007,0.524093815
2000,2,21,2/21/2000,8,20.0675,18.26,NA,79.225,NA,NA,890.44218,42.84537,NA,NA,16.4175,16.855,17.805,0.166,0.298,NA,NA,-9.0308,6.36397,15.39477,0.48781144
2000,2,21,2/21/2000,9,19.3275,18.685,NA,81.525,NA,NA,891.10987,91.395,NA,NA,16.4625,16.6475,17.5675,0.1655,0.298,NA,NA,-3.3474,6.36397,9.71137,0.414337548
2000,2,21,2/21/2000,10,20.02,19.7275,NA,84.85,NA,NA,891.13477,120.2625,NA,NA,16.6025,16.465,17.3,0.165,0.29775,NA,NA,-6.5368,6.36397,12.90077,0.354688431
2000,2,21,2/21/2000,11,20.76,21.5775,NA,84,NA,NA,891.21182,295.69875,NA,NA,16.435,16.095,16.7675,0.165,0.297,NA,NA,-12.7035,6.36397,19.06747,0.392092418
2000,2,21,2/21/2000,12,22.8225,27.53,NA,83.675,NA,NA,890.30173,401.0025,NA,NA,17.185,16.8675,17.365,0.165,0.297,NA,NA,-13.2359,6.36397,19.59987,0.453739766
2000,2,21,2/21/2000,13,24.0575,27.8775,NA,83.2,NA,NA,889.3903,398.41,NA,NA,17.7825,17.55,17.93,0.165,0.297,NA,NA,-13.5806,6.36397,19.94457,0.503030859
2000,2,21,2/21/2000,14,24.3375,27.94,NA,81.4,NA,NA,888.56105,224.9525,NA,NA,17.75,17.5525,17.845,0.165,0.297,NA,NA,-12.6845,6.36397,19.04847,0.566351569
2000,2,21,2/21/2000,15,22.19,24.375,NA,84,NA,NA,888.3085,317.095,NA,NA,17.7975,17.7175,17.9525,0.165,0.297,NA,NA,-11.8519,6.36397,18.21587,0.427952854
2000,2,21,2/21/2000,16,21.095,22.3875,NA,86.675,NA,NA,887.8642,76.70375,NA,NA,17.625,17.5225,17.73,0.165,0.296,NA,NA,-2.6003,6.36397,8.96427,0.333332195
2000,2,21,2/21/2000,17,20.115,20.135,NA,84.375,NA,NA,887.70383,39.31488,NA,NA,17.33,17.05,17.2075,0.165,0.296,NA,NA,3.0783,6.36397,3.28567,0.367965467
2000,2,21,2/21/2000,18,18.435,17.115,NA,80.825,NA,NA,887.8056,3.002,NA,NA,17.07,17.16,17.25,0.165,0.296,NA,NA,6.7987,6.36397,-0.43473,0.406725217
2000,2,21,2/21/2000,19,19.5475,17.2975,NA,79.475,NA,NA,888.40463,0,NA,NA,17.385,17.8,17.96,0.16425,0.296,NA,NA,6.733,6.36397,-0.36903,0.466652341
2000,2,21,2/21/2000,20,19.4625,17.27,NA,78.025,NA,NA,889.21398,0,NA,NA,17.1875,17.6725,17.94,0.164,0.296,NA,NA,6.8151,6.36397,-0.45113,0.496987201
2000,2,21,2/21/2000,21,20.745,17.86,NA,77.425,NA,NA,889.57227,0,NA,NA,16.9575,17.62,18.0075,0.164,0.296,NA,NA,6.0847,6.36397,0.27927,0.552707437
2000,2,21,2/21/2000,22,19.695,17.3975,NA,77.15,NA,NA,889.7434,0,NA,NA,16.6375,17.25,17.755,0.16325,0.296,NA,NA,6.2133,6.36397,0.15067,0.524292429
2000,2,21,2/21/2000,23,20.7275,17.9325,NA,76.05,NA,NA,890.00457,0,NA,NA,16.5625,17.2,17.7975,0.163,0.296,NA,NA,5.991,6.36397,0.37297,0.585740532
2000,3,16,3/16/2000,0,20.0125,19.51,NA,67.71875,NA,NA,886.20465,0,NA,474.2,16.405,17.0175,17.8425,0.087,0.225,NA,NA,5.39525,5.776956,0.381706,0.755410694
2000,3,16,3/16/2000,1,18.9425,18.3525,NA,68.36875,NA,NA,886.33135,0,NA,477.475,16.185,16.8375,17.71,0.087,0.225,NA,NA,4.86118,5.776956,0.915776,0.692573526
2000,3,16,3/16/2000,2,19.8825,19.4625,NA,66.69375,NA,NA,886.3062,0,NA,479.825,16.1275,16.74,17.67,0.087,0.225,NA,NA,5.38985,5.776956,0.387106,0.773147167
2000,3,16,3/16/2000,3,19.8325,19.1275,NA,67.0375,NA,NA,886.24817,0,NA,482.975,16.05,16.72,17.6925,0.087,0.225,NA,NA,5.37787,5.776956,0.399086,0.762800345
2000,3,16,3/16/2000,4,19.2275,18.76,NA,67.1875,NA,NA,886.56185,0,NA,485.275,15.935,16.5875,17.605,0.087,0.225,NA,NA,4.95505,5.776956,0.821906,0.731316879
2000,3,16,3/16/2000,5,19.8575,19.465,NA,66.3125,NA,NA,886.96775,0,NA,487.725,15.865,16.4825,17.54,0.087,0.22425,NA,NA,4.92112,5.776956,0.855836,0.780786746
2000,3,16,3/16/2000,6,19.8825,19.33,NA,66.7625,NA,NA,887.52135,1.56288,NA,489.25,15.7925,16.425,17.52,0.087,0.22425,NA,NA,3.20725,5.776956,2.569706,0.771551254
2000,3,16,3/16/2000,7,19.105,20,NA,82.5375,NA,NA,887.95738,51.37875,NA,466.25,15.99,16.3825,17.505,0.08775,0.225,NA,NA,-4.4394,5.776956,10.216356,0.386240625
