Year ,Day,Date,Hour,NEE,Reco,GEP,LE,H,Rg,Tair,Tsoil,vpd,precip,Ustar,LAI
2006,188,7/7/2006,17.5,0.359971491,6.11845427,5.758482779,137.9760851,70.32639349,227.5,37.93,36.07,4.84423547,0,0.412532,2.125
2006,188,7/7/2006,18.5,2.885237245,6.11845427,3.233217025,-9999,31.49460228,43.06,36.39,35.54,4.17656164,0,0.624657,2.125
2006,188,7/7/2006,19,5.045280288,6.11845427,1.073173982,65.89180995,-16.30591366,-22.33,34.77,34.87,3.601747149,0,0.728234,2.125
2006,188,7/7/2006,19.5,3.278815971,6.11845427,2.839638299,39.10055595,-7.547655744,-60.13,33.93,34.19,3.366227136,0,0.33846,2.125
2006,188,7/7/2006,18,0.924577416,6.11845427,5.193876854,157.9648072,41.35030638,132.8,37.69,35.98,4.79249574,0,0.563985,2.125
2006,188,7/7/2006,20.5,5.291712665,6.11845427,0.826741605,24.26720098,-20.81641513,-64.57,32.66,33.16,3.011573102,0,0.150249,2.125
2006,188,7/7/2006,21,-9999,6.11845427,-9999,-28.6278242,7.776840684,-50.07,31.93,32.72,2.727436175,0,0.160624,2.125
2006,188,7/7/2006,21.5,6.114165025,6.11845427,0.004289245,13.52215416,-8.395246797,-40.81,31.13,32.4,2.462210058,0,0.155723,2.125
2006,188,7/7/2006,22,5.775367415,6.11845427,0.343086855,31.4143852,-15.68597095,-40.93,31.09,32.11,2.527866394,0,0.201529,2.125
2006,188,7/7/2006,22.5,7.292571975,6.11845427,-1.174117705,53.37585526,-19.15430654,-28.65,31.03,31.83,2.61438928,0,0.297093,2.125
2006,188,7/7/2006,23,-9999,6.11845427,-9999,-9999,-25.84235431,-29.85,29.66,31.52,2.129275807,0.254,0.213478,2.125
2006,188,7/7/2006,23.5,-9999,6.11845427,-9999,-9999,-16.11285298,-20.88,27.84,30.99,1.546903623,2.97E-11,0.254872,2.125
2006,189,7/8/2006,9.5,-9.304632196,3.957808644,13.26244084,211.2532898,221.1806245,520.9,32.87,29.66,3.002484875,0,0.161451,2.125
2006,189,7/8/2006,10,-7.092283957,3.957808644,11.0500926,216.8294757,232.8953557,591.4,33.06,31.29,3.170309189,0,0.180403,2.125
2006,189,7/8/2006,10.5,-5.704629473,3.957808644,9.662438117,220.926565,197.3880498,648.8,33.57,31.37,3.31927322,0,0.279647,2.125
2006,189,7/8/2006,11,-4.578215503,3.957808644,8.536024147,212.0902909,208.8502506,696.7,34.38,31.29,3.586293272,0,0.360688,2.125
2006,189,7/8/2006,11.5,-3.495435042,3.957808644,7.453243686,195.2484354,244.3060627,729.7,35.22,31.3,3.848392103,0,0.239375,2.125
2006,188,7/7/2006,15,-0.728117931,6.11845427,6.846572201,175.725414,184.0658524,663.7,37.69,37.39,4.75349574,0,0.363156,2.125
2006,188,7/7/2006,15.5,-3.361339931,6.11845427,9.479794201,241.1127122,262.4658717,589.7,38.14,36.82,4.869054035,0,0.438689,2.125
2006,188,7/7/2006,16,0.046794635,6.11845427,6.071659635,155.7535318,125.1078827,404.8,37.98,36.38,4.809219843,0,0.198161,2.125
2006,188,7/7/2006,16.5,-1.086535559,6.11845427,7.204989829,177.9982484,142.8087294,381.6,38.28,36.84,4.933015826,0,0.355478,2.125
2006,188,7/7/2006,17,-0.362095187,6.11845427,6.480549457,148.5658135,89.49764456,307.8,38,36.75,4.846425412,0,0.451686,2.125
2006,189,7/8/2006,7.5,-1.533884055,3.957808644,5.491692699,164.5663989,47.82318282,167.1,29.96,28.12,2.104991449,0,0.213967,2.125
2006,189,7/8/2006,8,-8.910846362,3.957808644,12.86865501,125.6749131,91.91998265,260.5,30.77,28.39,2.351851389,0,0.156464,2.125
2006,188,7/7/2006,12.5,-2.702164826,6.11845427,8.820619096,320.3022119,293.7937015,765.6,35.63,35.08,3.949204019,0,0.303884,2.125
2006,188,7/7/2006,13,-4.780943116,6.11845427,10.89939739,225.2660864,344.1135852,765.9,36.36,36.12,4.296546626,0,0.432365,2.125
2006,188,7/7/2006,13.5,-3.217646867,6.11845427,9.336101137,279.3035819,299.6653302,751.7,36.88,36.32,4.421174088,0,0.373275,2.125
2006,188,7/7/2006,14.5,-9999,6.11845427,-9999,-9999,229.1947733,611.9,37.71,37.63,4.782603848,0,0.293749,2.125
2006,189,7/8/2006,15,-0.924247731,3.957808644,4.882056375,158.5981237,197.9828264,487.9,38.76,37.15,5.233296442,0,0.3657,2.21875
2006,189,7/8/2006,15.5,-0.158748605,3.957808644,4.116557249,186.1526416,234.8269739,547.7,39.09,36.8,5.304499702,0,0.479529,2.21875
2006,189,7/8/2006,14.5,1.750053473,3.957808644,2.207755171,133.8163319,277.4131934,593.7,38.39,37.78,5.055292148,0,0.51574,2.21875
2006,189,7/8/2006,19,8.156276686,3.957808644,-4.198468042,-9999,72.41134075,-29.39,28.02,33.82,1.463586188,0,0.416154,2.21875
2006,189,7/8/2006,19.5,-9999,3.957808644,-9999,-9999,40.27722983,-37.31,25.43,33.1,0.828343645,0,0.448148,2.21875
2006,189,7/8/2006,20,2.895520489,3.957808644,1.062288155,1.836555779,10.8402603,-35.52,25.32,32.46,0.919074892,0,0.488573,2.21875
2006,189,7/8/2006,20.5,3.756096421,3.957808644,0.201712223,2.886559519,13.96940207,-33.02,25.26,31.95,0.894524832,0,0.216625,2.21875
2006,189,7/8/2006,21.5,5.221809021,3.957808644,-1.264000377,11.31045858,8.105723114,-32.35,25.17,31.28,0.798267088,0,0.252264,2.21875
2006,189,7/8/2006,22,-9999,3.957808644,-9999,-9999,-19.49342774,-23.45,26.84,31.01,1.191953079,0,0.237636,2.21875
2006,189,7/8/2006,16,0.167484563,3.957808644,3.790324081,176.4413212,194.8419942,467.4,39.18,36.51,5.349705641,0,0.431124,2.21875
